"","production_countries.name","budget_mean","maturecontent_sum","notmature_sum","income_level","RELIGION_IMPORT","HOMOSEXUALITY","GENDER_EQUALITY"
"1","Argentina",135584.590643275,70,443,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"2","Australia",1139590.29596413,140,529,"High income","Very important","Homosexuality should be accepted by society","Very important"
"3","Brazil",368178.274867122,89,1228,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"4","Bulgaria",1940223.24691358,9,72,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"5","Canada",1576406.07352234,565,1516,"High income","Very important","Homosexuality should be accepted by society","Very important"
"6","Czech Republic",442268.618243243,24,272,"High income","Very important","Homosexuality should be accepted by society","Very important"
"7","France",595447.064901156,213,2468,"High income","Very important","Homosexuality should be accepted by society","Very important"
"8","Germany",187527.304303626,329,2622,"High income","Very important","Homosexuality should be accepted by society","Very important"
"9","Greece",106367.875647668,13,180,"High income","Very important","Homosexuality should be accepted by society","Very important"
"10","Hungary",735550.237179487,17,139,"High income","Very important","Homosexuality should be accepted by society","Very important"
"11","India",741780.788833859,691,1530,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"12","Indonesia",102773.857855362,98,303,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"13","Israel",63675.1828571429,10,165,"High income","Very important","Homosexuality should be accepted by society","Very important"
"14","Italy",201833.538461538,101,692,"High income","Very important","Homosexuality should be accepted by society","Very important"
"15","Japan",299509.9872579,438,1524,"High income","Very important","Homosexuality should be accepted by society","Very important"
"16","Kenya",0.764705882352941,1,16,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"17","Lebanon",0,1,48,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"18","Lithuania",23594.1176470588,6,45,"High income","Very important","Homosexuality should be accepted by society","Very important"
"19","Mexico",358732.433198381,63,431,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"20","Netherlands",69708.4337152209,37,574,"High income","Very important","Homosexuality should be accepted by society","Very important"
"21","Nigeria",21600.04,6,44,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"22","Philippines",11036.5712250712,110,592,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"23","Poland",166440.397212544,34,253,"High income","Very important","Homosexuality should be accepted by society","Very important"
"24","Russia",834350.628899836,74,535,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"25","Slovakia",183506.340425532,5,42,"High income","Very important","Homosexuality should be accepted by society","Very important"
"26","South Africa",936963.884615385,29,153,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"27","South Korea",377732.70977918,181,770,"High income","Very important","Homosexuality should be accepted by society","Very important"
"28","Spain",519514.463392857,150,970,"High income","Very important","Homosexuality should be accepted by society","Very important"
"29","Sweden",200435.246987952,90,408,"High income","Very important","Homosexuality should be accepted by society","Very important"
"30","Tunisia",714.285714285714,1,13,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"31","Turkey",239944.548295455,68,284,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"32","Ukraine",289352.47,15,85,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"33","United Kingdom",1496293.43582704,533,2381,"High income","Very important","Homosexuality should be accepted by society","Very important"
"34","United States of America",2223976.84860624,3254,8728,"High income","Very important","Homosexuality should be accepted by society","Very important"
"35","Argentina",135584.590643275,70,443,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"36","Australia",1139590.29596413,140,529,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"37","Brazil",368178.274867122,89,1228,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"38","Bulgaria",1940223.24691358,9,72,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"39","Canada",1576406.07352234,565,1516,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"40","Czech Republic",442268.618243243,24,272,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"41","France",595447.064901156,213,2468,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"42","Germany",187527.304303626,329,2622,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"43","Greece",106367.875647668,13,180,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"44","Hungary",735550.237179487,17,139,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"45","India",741780.788833859,691,1530,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"46","Indonesia",102773.857855362,98,303,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"47","Israel",63675.1828571429,10,165,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"48","Italy",201833.538461538,101,692,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"49","Japan",299509.9872579,438,1524,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"50","Kenya",0.764705882352941,1,16,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"51","Lebanon",0,1,48,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"52","Lithuania",23594.1176470588,6,45,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"53","Mexico",358732.433198381,63,431,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"54","Netherlands",69708.4337152209,37,574,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"55","Nigeria",21600.04,6,44,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"56","Philippines",11036.5712250712,110,592,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"57","Poland",166440.397212544,34,253,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"58","Russia",834350.628899836,74,535,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
