,Population 2020,,,,
,,,,,
,,,,,
,Ranking,,Economy,(thousands),
,,,,,
CHN,1,,China," 1,402,112 ",
IND,2,,India," 1,380,004 ",
USA,3,,United States," 329,484 ",
IDN,4,,Indonesia," 273,524 ",
PAK,5,,Pakistan," 220,892 ",
BRA,6,,Brazil," 212,559 ",
NGA,7,,Nigeria," 206,140 ",
BGD,8,,Bangladesh," 164,689 ",
RUS,9,,Russian Federation," 144,104 ",
MEX,10,,Mexico," 128,933 ",
JPN,11,,Japan," 125,836 ",
ETH,12,,Ethiopia," 114,964 ",
PHL,13,,Philippines," 109,581 ",
EGY,14,,"Egypt, Arab Rep."," 102,334 ",
VNM,15,,Vietnam," 97,339 ",
COD,16,,"Congo, Dem. Rep."," 89,561 ",
TUR,17,,Turkey," 84,339 ",
IRN,18,,"Iran, Islamic Rep."," 83,993 ",
DEU,19,,Germany," 83,241 ",
THA,20,,Thailand," 69,800 ",
FRA,21,,France," 67,392 ",
GBR,22,,United Kingdom," 67,215 ",
TZA,23,,Tanzania," 59,734 ",
ITA,24,,Italy," 59,554 ",
ZAF,25,,South Africa," 59,309 ",
MMR,26,,Myanmar," 54,410 ",
KEN,27,,Kenya," 53,771 ",
KOR,28,,"Korea, Rep."," 51,781 ",
COL,29,,Colombia," 50,883 ",
ESP,30,,Spain," 47,352 ",
UGA,31,,Uganda," 45,741 ",
ARG,32,,Argentina," 45,377 ",
UKR,33,,Ukraine," 44,135 ",
DZA,34,,Algeria," 43,851 ",
SDN,35,,Sudan," 43,849 ",
IRQ,36,,Iraq," 40,223 ",
AFG,37,,Afghanistan," 38,928 ",
CAN,38,,Canada," 38,005 ",
POL,39,,Poland," 37,951 ",
MAR,40,,Morocco," 36,911 ",
SAU,41,,Saudi Arabia," 34,814 ",
UZB,42,,Uzbekistan," 34,232 ",
PER,43,,Peru," 32,972 ",
AGO,44,,Angola," 32,866 ",
MYS,45,,Malaysia," 32,366 ",
MOZ,46,,Mozambique," 31,255 ",
GHA,47,,Ghana," 31,073 ",
YEM,48,,"Yemen, Rep."," 29,826 ",
NPL,49,,Nepal," 29,137 ",
VEN,50,,"Venezuela, RB"," 28,436 ",
MDG,51,,Madagascar," 27,691 ",
CMR,52,,Cameroon," 26,546 ",
CIV,53,,Côte d'Ivoire," 26,378 ",
PRK,54,,"Korea, Dem. People's Rep."," 25,779 ",
AUS,55,,Australia," 25,687 ",
NER,56,,Niger," 24,207 ",
LKA,57,,Sri Lanka," 21,919 ",
BFA,58,,Burkina Faso," 20,903 ",
MLI,59,,Mali," 20,251 ",
ROU,60,,Romania," 19,286 ",
MWI,61,,Malawi," 19,130 ",
CHL,62,,Chile," 19,116 ",
KAZ,63,,Kazakhstan," 18,754 ",
ZMB,64,,Zambia," 18,384 ",
ECU,65,,Ecuador," 17,643 ",
SYR,66,,Syrian Arab Republic," 17,501 ",
NLD,67,,Netherlands," 17,441 ",
GTM,68,,Guatemala," 16,858 ",
SEN,69,,Senegal," 16,744 ",
KHM,70,,Cambodia," 16,719 ",
TCD,71,,Chad," 16,426 ",
SOM,72,,Somalia," 15,893 ",
ZWE,73,,Zimbabwe," 14,863 ",
