"","imdb_id","original_title","adult","genres.name","original_language","popularity","production_countries.name","release_date","budget","revenue","vote_average","vote_count"
"1:1","tt0105236","Reservoir Dogs","FALSE","Crime","en","30.815","United States of America","1992-09-02","1200000","2859750","8.2","10925"
"1:2","tt0427312","Grizzly Man","FALSE","Documentary","en","7.617","United States of America","2005-08-12","0","0","7.5","555"
"1:5","tt0024339","The Mind Reader","FALSE","Drama","en","1.331","United States of America","1933-04-01","0","0","7.3","4"
"1:7","tt0046904","Desistfilm","FALSE","Drama","en","2.242","United States of America","1954-01-01","120","0","5.4","28"
"1:9","tt0021657","Big Business Girl","FALSE","Romance","en","0.84","United States of America","1931-06-12","0","0","6","1"
"1:10","tt0024484","Rafter Romance","FALSE","Comedy","en","0.631","United States of America","1933-09-01","0","0","6.6","7"
"1:11","tt0278145","Wedlock House: An Intercourse","FALSE","Romance","en","2.048","United States of America","1959-04-27","0","0","5.4","19"
"1:14","tt1883386","Urte berri on, amona!","FALSE","Drama","es","0.923","Spain","2011-06-12","0","0","8","1"
"1:15","tt0140788","The Act of Seeing with One's Own Eyes","FALSE","Documentary","en","2.389","United States of America","1972-02-19","0","0","6.1","40"
"1:17","tt2008554","La espera","FALSE","Drama","es","1.4","Chile","2011-09-01","0","0","0","0"
"1:19","tt0025610","Our Daily Bread","FALSE","Drama","en","2.852","United States of America","1934-10-02","0","0","6.9","18"
"1:21","tt3139812","The Isaiah 9:10 Judgment: Is There an Ancient Mystery that Foretells America's Future?","FALSE","Documentary","en","1.4",NA,"2012-03-12","0","0","0","0"
"1:22","tt0120354","Topless Women Talk About Their Lives","FALSE","Drama","en","1.023",NA,"1997-05-26","0","0","5.8","5"
"1:23","tt2056554","Digital Dharma","FALSE",NA,"en","0.6",NA,"","0","0","0","0"
"1:24","tt0437123","Chats perchés","FALSE","Documentary","fr","0.6","France","2004-12-05","0","0","6.9","8"
"1:26","tt2090582","Of Two Minds","FALSE","Documentary","en","0.6",NA,"2012-11-01","0","0","8","3"
"1:27","tt0423987","Cinévardaphoto","FALSE","Drama","en","0.6",NA,"2004-07-04","0","0","6","4"
"1:29","tt0139959","Da lacht Tirol","FALSE",NA,"de","1.371","Germany","1967-12-01","0","0","4","1"
"1:31","tt0396705","Lightning in a Bottle","FALSE","Music","en","2.03","United States of America","2004-02-12","0","0","7.4","7"
"1:32","tt1126391","Господа офицеры: Спасти императора","FALSE","Action","ru","1.531","Russia","2008-04-17","0","0","4","3"
"1:33","tt0086160","長靴をはいたネコ ８０日間世界一周","FALSE","Animation","ja","3.268","Japan","1976-03-20","0","0","6.3","9"
"1:35","tt0119692","With Friends Like These...","FALSE","Comedy","en","1.382","United States of America","1998-09-10","0","0","0","0"
"1:47","tt0067918","Urlaubsreport - Worüber Reiseleiter nicht sprechen dürfen","FALSE","Comedy","de","1.824","Germany","1971-10-08","0","0","4.5","1"
"1:51","tt0168038","Leslie Nielsen's Stupid Little Golf Video","FALSE",NA,"en","0.621",NA,"1997-01-01","0","0","5","1"
"1:53","tt0374616","Director's Cut","FALSE","Comedy","de","0.937","United States of America","2003-08-01","0","0","4.3","2"
"1:55","tt2345613","Leprechaun: Origins","FALSE","Horror","en","20.142","United States of America","2014-08-22","0","0","4.5","160"
"1:59","tt0331307","Ozzy Osbourne: The Ultimate Ozzy","FALSE","Music","en","1.161","United States of America","1986-08-11","0","0","7","1"
"1:64","tt0029365","Over the Moon","FALSE","Comedy","en","0.6","United Kingdom","1939-10-12","0","0","5.3","5"
"1:68","tt1264909","Tres dies amb la família","FALSE","Drama","ca","1.487","Spain","2009-06-26","0","0","6.6","7"
"1:69","tt2070597","纽约客@上海","FALSE","Romance","zh","3.096","United States of America","2012-05-03","0","0","6.2","19"
"1:70","tt0278740","The Stars Are Beautiful","FALSE","Documentary","en","1.248","United States of America","1974-11-19","0","0","5.1","17"
"1:72","tt0082437","The Garden of Earthly Delights","FALSE",NA,"en","1.9","United States of America","1981-01-01","0","0","5.7","30"
"1:73","tt0402175","Faultline","FALSE","Action","en","2.128","United States of America","2004-01-01","0","0","2.5","2"
"1:75","tt0277784","Kindering","FALSE",NA,"en","2.05","United States of America","1987-01-01","0","0","5","26"
"1:76","tt0180752","I... Dreaming","FALSE",NA,"en","2.765","United States of America","1988-01-01","0","0","5.9","24"
"1:77","tt0092828","The Dante Quartet","FALSE",NA,"en","1.932","United States of America","1987-03-26","0","0","6","43"
"1:80","tt0091633","Night Music","FALSE",NA,"en","2.07","United States of America","1986-01-01","0","0","5.3","35"
"1:81","tt0037206","Raiders of Ghost City","FALSE","Action","en","1.4","United States of America","1944-07-25","0","0","0","0"
"1:83","tt0095950","Rage Net","FALSE",NA,"en","1.465","United States of America","1988-01-01","0","0","5.2","33"
"1:85","tt0281325","Untitled (For Marilyn)","FALSE",NA,"en","1.679","United States of America","1992-01-01","0","0","5.2","17"
"1:87","tt0109283","Black Ice","FALSE",NA,"en","2.457","United States of America","1994-12-31","0","0","5.8","36"
"1:89","tt0246062","Manchi Donga","FALSE","Drama","en","0.6",NA,"1988-01-13","0","0","0","0"
"1:91","tt0281228","Stellar","FALSE",NA,"en","2.174","United States of America","1993-12-31","0","0","6.2","38"
"1:94","tt0276023","Die Comedian Harmonists - Sechs Lebensläufe","FALSE","Documentary","de","0.6","Germany","1976-12-18","0","0","8.5","1"
"1:95","tt0415974","Anal Revenge","TRUE",NA,"en","0.7","United States of America","2000-11-01","0","0","5","1"
"1:96","tt0280574","Crack Glass Eulogy","FALSE",NA,"en","1.682","United States of America","1992-01-01","0","0","5.4","19"
"1:98","tt0277657","The Dark Tower","FALSE",NA,"en","1.843","United States of America","1999-01-01","0","0","5.6","27"
"1:99","tt0281737","Commingled Containers","FALSE",NA,"en","2.725","United States of America","1996-09-04","0","0","5.8","33"
"1:101","tt0279202","Lovesong","FALSE",NA,"en","1.605","United States of America","2001-03-04","0","0","5.7","19"
"1:102","tt0040505","風の中の牝鶏","FALSE","Drama","ja","1.42","Japan","1948-09-17","0","0","7.2","16"
"1:106","tt1559309","Backyard Wedding","FALSE","Drama","en","3.873","United States of America","2010-07-13","0","0","6","8"
"1:110","tt0463959","Desolation Canyon","FALSE","Western","en","2.003","United States of America","2006-01-06","0","0","6.4","5"
"1:113","tt0049805","Strange Intruder","FALSE","Drama","en","1.081","United States of America","1956-09-02","0","0","5.5","4"
"1:115","tt0390365","Persons of Interest","FALSE",NA,"en","0.6",NA,"2004-01-22","0","0","0","0"
