,imdb_id,original_title,adult,genres.name,original_language,popularity,production_countries.name,release_date,budget,revenue,vote_average,vote_count
1:02,tt0427312,Grizzly Man,FALSE,Documentary,en,11.973,United States of America,12/08/2005,0,0,7.5,555
1:03,,"Pipelines, pouvoir et démocratie",FALSE,Documentary,fr,0.6,Canada,4/12/2015,0,0,0,0
1:04,,Zeitgeschichte - Die Schlacht um Midway,FALSE,Documentary,de,0.6,Germany,18/09/2003,0,0,0,0
1:06,tt0156744,Little White Lies,FALSE,Crime,en,1.4,Australia,14/10/1996,0,0,0,0
1:07,tt3649130,La Femme mariée à trois Hommes,FALSE,Animation,fr,0.6,Burkina Faso,12/03/1993,0,0,7,1
1:08,,ROH Final Battle 2015,FALSE,NA,en,0.667,United States of America,18/12/2015,0,0,7.8,2
1:10,tt5046786,Lady Antebellum: Wheels Up Tour,FALSE,Music,en,1.106,United States of America,13/11/2015,0,0,0,0
1:11,tt0083507,13. jul,FALSE,War,sr,1.18,Yugoslavia,1/01/1982,0,0,5,3
1:12,tt1031924,The Dialogue: An Interview with Screenwriter Scott Rosenberg,FALSE,NA,en,0.6,NA,,0,0,0,0
1:13,tt1009998,The Dialogue: An Interview with Screenwriter Paul Haggis,FALSE,Documentary,en,0.6,United States of America,19/06/2006,0,0,0,0
1:14,tt1031921,The Dialogue: An Interview with Screenwriter Marshall Herskovitz,FALSE,NA,en,0.6,NA,,0,0,0,0
1:17,tt1009997,The Dialogue: An Interview with Screenwriter Jim Uhls,FALSE,NA,en,0.6,NA,,0,0,0,0
1:18,tt1010001,The Dialogue: An Interview with Screenwriter Ted Griffin,FALSE,NA,en,0.6,NA,,0,0,0,0
1:19,tt1031919,The Dialogue: An Interview with Screenwriter Callie Khouri,FALSE,NA,en,0.6,NA,,0,0,0,0
1:20,tt1009996,The Dialogue: An Interview with Screenwriter David Goyer,FALSE,Documentary,en,0.6,United States of America,20/06/2006,0,0,0,0
1:21,tt1091760,The Dialogue: An Interview with Screenwriter Ed Solomon,FALSE,Documentary,en,0.842,United States of America,22/08/2007,0,0,0,0
1:22,tt1091762,The Dialogue: An Interview with Screenwriter Peter Tolan,FALSE,NA,en,0.6,NA,,0,0,0,0
1:25,tt1031235,The Dialogue: An Interview with Screenwriters Lowell Ganz and Babaloo Mandel,FALSE,Documentary,en,1.342,United States of America,20/10/2006,0,0,0,0
1:26,tt1031233,The Dialogue: An Interview with Screenwriter Jose Rivera 2006,FALSE,NA,en,0.6,NA,,0,0,0,0
1:27,tt1031234,The Dialogue: An Interview with Screenwriter Nick Kazan 2006,FALSE,NA,en,0.6,NA,,0,0,0,0
